name	unit	price
Pala Mango	unidad	$ 5.500
Pala Clip	unidad	$ 2.500
Chocolate semiamargo	1kg	$ 16.000
Chocolate con leche	1kg	$ 12.000
Chocolate Blanco	1kg	$ 16.000
Chocolate para taza	1kg	$ 30.000
Chips Chocolate	1kg	$ 10.000
Polvo de Hornear	1kg	$ 12.000
Bicarbonato de Sodio	1kg	$ 12.000
Bicarbonato Amonio	1kg	$ 20.000
Chantilly Polvo	1kg	$ 20.000
Crema Pastelera	1kg	$ 15.000
Merengue	1kg	$ 15.000
Cerezas	1kg	$ 25.000
Guindas	1kg	$ 14.000
Gelatina s/s	1kg	$ 28.000
Gelatina c/s	1kg	$ 10.000
Mouse Chocolate	1kg	$ 20.000
Mouse Vainilla	1kg	$ 18.000
Mouse Frutilla	1kg	$ 18.000
Levadura Seca	1kg	$ 25.000
Margarina	1kg	$ 6.000
Manteca	1kg	$ 18.500
DDL Repostero	1kg	$ 5.000
Dulce Membrillo	1kg	$ 4.500
Dulce Batata	1kg	$ 3.500
Escencia Vainilla	1lt	$ 2.800
Copos Maiz s/a	1kg	$ 5.000
Copos Maiz c/a	1kg	$ 5.000
Aritos Frutales	1kg	$ 8.000
Aritos Miel	1kg	$ 8.000
Baloncitos CH	1kg	$ 8.000
Copos Arroz	1kg	$ 12.000
Cereal Free	1kg	$ 12.000
Arroz Inflado	1kg	$ 12.000
Crespines Arroz	1kg	$ 12.000
Granola	1kg	$ 12.000
Granola c/p	1kg	$ 10.000
Mix Cereales s/a	1kg	$ 8.000
Mix Cereales c/a	1kg	$ 8.000
Almohaditas	1kg	$ 10.000
Quinoa Pop	1kg	$ 12.000
Cereal Bananita	1kg	$ 12.000
Cafe Colombiano	1kg	$ 85.000
Cafe Santos	1kg	$ 60.000
Cafe Torrado	1kg	$ 46.000
Cafe Suave	1kg	$ 55.000
Cafe Fuerte	1kg	$ 53.000
Papas Pehuamar	paquete	$ 8.500
Papas Gonzalo	paquete	$ 12.500
Chizitos Pehuamar	paquete	$ 4.500
Chizitos Gonzalo	paquete	$ 8.700
Tutuca	paquete	$ 8.700
Puflito	paquete	$ 8.700
Esponjitas	paquete	$ 5.000
Heladitos	paquete	$ 5.000
Palitos Gonzalo	paquete	$ 8.700
Palitos Pehuamar	paquete	$ 8.000
Cascarones	paquete	$ 13.500
Palitos Anis	paquete	
Rosquitas Glaceada	paquete	
Pochoclos	paquete	$ 5.000
Dulcitas	paquete	$ 12.000
